date,Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T_out,RH_out,Press_mm_hg,Windspeed,Visibility,Tdewpoint
24-01-2016 16:10,80.0,62.9465,21.42666667,44.96333333,20.82333333,44.12666667,20.82333333,45.93333333,17.96333333,46.9,18.37888889,53.63,7.82,96.83333333,,5.0,61.33333333,7.38
28-01-2016 01:30,20.0,20.0,19.1,,18.39,47.29,19.79,45.4,18.1,48.5,17.35666667,54.0,9.9,92.5,756.95,4.5,33.5,8.7
16-03-2016 21:10,120.0,10.0,22.7,35.83333333,20.29,36.73,23.26,35.56,21.89,34.09,18.7,43.9,4.57,64.0,765.4333333,5.0,,-1.72
08-02-2016 21:20,90.0,30.0,,41.62666667,23.42666667,40.03,24.0,42.5,21.6,43.23,21.0,51.64166667,7.73,69.0,743.5333333,9.333333333,24.0,2.43
03-05-2016 23:20,40.0,40.0,22.79,35.0,20.445,36.245,22.92666667,36.2,22.5,33.7,21.2,51.02666667,6.43,78.33333333,766.2333333,,40.0,2.87
25-05-2016 11:20,50.0,10.0,,38.59,24.63333333,34.66333333,24.89,38.23,23.7,37.29,19.29,39.7,12.8,61.66666667,756.9333333,1.0,27.66666667,5.67
22-04-2016 02:20,70.0,20.0,22.53333333,37.4,20.56666667,39.0,23.42666667,37.73,22.79,35.09,20.5,43.06,10.8,70.33333333,776.8658,2.666666667,27.66666667,5.5
13-05-2016 22:10,50.0,20.0,25.6,39.4,23.92666667,39.93,26.06,34.5,25.39,40.01285714,,48.99,12.3,78.5,751.7166667,6.333333333,23.83333333,8.6
15-02-2016 03:40,,,20.05,41.1,18.2,,20.2,90.153,18.73,40.4,18.21,60.91277778,2.43,93.0,750.3,6.0,32.66666667,1.33
03-02-2016 12:50,70.0,10.0,22.53333333,44.86,21.6,42.72333333,21.98777778,44.5,22.1,40.86,19.1,55.39388889,6.48,64.5,760.1666667,8.0,40.0,0.183
16-01-2016 20:30,110.0,40.0,23.29,39.66333333,22.15,38.29,22.56666667,43.89,20.85666667,,18.85666667,52.06,0.6,94.0,765.0,3.0,27.0,-0.2
26-01-2016 21:40,70.0,20.0,20.13333333,51.96666667,19.42666667,49.49,20.35666667,45.46666667,18.5,46.09,17.5,53.99944444,9.43,86.0,771.3364,,25.33333333,7.13
20-05-2016 01:00,50.0,10.0,23.2,41.2,21.39,42.0,24.6,39.66333333,23.219317458607144,40.4,22.1,57.75,10.1,86.0,757.9,7.471227768412371,40.0,7.9
05-03-2016 06:10,40.0,30.0,20.16666667,37.2,17.35666667,40.5,20.7,37.62666667,18.6,36.29,18.29,43.4,0.7,96.83333333,740.5666667,1.0,44.33333333,0.267
10-04-2016 11:40,60.0,,21.89,40.26,23.76,35.86333333,22.5,38.7,29.9867,37.83333333,,69.25285714,10.7,65.0,753.2333333,3.666666667,40.0,4.33
30-03-2016 11:50,100.0,20.0,21.63333333,42.29,,41.15666667,22.66666667,39.9,21.2,42.06,20.1,47.93333333,9.53,66.33333333,753.2166667,5.833333333,30.83333333,14.089
06-04-2016 04:50,60.0,10.0,21.89,41.0,18.79,46.5,24.2,39.23,20.79,40.7,20.7,50.95,6.38,,753.8333333,4.0,21.66666667,5.6
15-02-2016 08:30,50.0,10.0,19.5,40.62666667,18.0,40.73,20.1,40.15666667,18.39,,17.79,56.67611111,1.4,80.0,755.85,5.0,40.0,-1.7
18-03-2016 14:00,50.0,20.0,21.0,37.76,18.56666667,38.96333333,21.1,35.2,20.5,33.09,,,6.7,73.0,762.8,2.0,23.0,2.1
14-05-2016 02:30,60.0,10.0,24.89,,22.39,41.35285714,25.1,33.79,25.1,38.77875,,48.95,8.85,84.5,753.9,3.0,22.5,6.3
10-03-2016 20:30,150.0,,22.1,38.13333333,,39.26666667,21.29,38.43333333,21.5,35.73,17.79,46.93333333,5.45,71.0,761.6,2.0,64.0,0.5
26-05-2016 11:30,936.7471,,23.79,43.19666667,27.236,34.356,26.13333333,39.36,24.6,41.29666667,21.5,49.2,17.1,68.5,757.15,1.0,42.0,11.1
06-02-2016 01:30,50.0,10.0,22.0,45.06,21.39,43.79,22.6,45.09,19.96333333,47.43333333,,56.29,9.2,85.5,756.45,5.0,40.0,6.9
22-04-2016 13:40,260.0,10.0,22.79,37.46666667,23.2,34.29,27.03333333,39.56,23.2,34.57714286,20.66666667,,12.5,62.66666667,759.0333333,5.666666667,40.0,5.57
30-01-2016 06:50,30.0,10.0,18.96333333,,18.2,44.53,20.0,45.0,16.5,47.0,16.7,51.79,8.33,94.0,754.8333333,11.0,28.5,7.42
29-02-2016 22:30,50.0,20.0,21.89,34.7,19.7,36.16333333,21.73,34.72333333,,32.52666667,19.0,41.4,-0.8,87.5,763.6,1.5,41.5,-2.65
28-01-2016 18:40,40.0,20.0,19.39,44.2,18.5,44.29,19.79,44.09,,44.4,,52.0,,89.66666667,765.5666667,2.666666667,31.33333333,0.533
21-01-2016 14:40,60.0,40.0,18.53333333,,17.82333333,36.0,18.1,37.93333333,18.39,35.16333333,,39.61444444,4.6,52.66666667,763.7666667,1.333333333,35.0,-4.4
28-04-2016 16:00,120.0,10.0,21.0,35.2,20.23,,21.5,34.79,20.7,33.76,18.73,42.16333333,7.6,71.0,756.4,6.0,28.0,2.6
24-01-2016 21:40,70.0,10.0,22.1,41.9,21.5,41.26,20.6,44.03,18.5,46.59,19.235,58.67970556986383,8.1,95.0,767.4666667,9.114135649445819,53.334574842316336,7.33
22-03-2016 23:50,60.0,10.0,22.7,38.79,,41.46666667,22.1,37.59,21.26,37.46666667,20.6,45.83333333,5.72,93.58333333,756.1583333,3.166666667,61.41666667,4.73
19-04-2016 01:40,30.0,20.0,21.23,37.23,18.7,39.46666667,22.6,36.5,22.0,34.41428571,20.1,49.53,6.77,75.33333333,763.9333333,2.333333333,40.0,2.67
26-04-2016 04:00,20.0,10.0,21.0,37.09,17.89,40.03,22.0,36.29,20.83,79.8923,19.7,,25.0474,94.0,748.5,3.0,40.0,0.6
12-03-2016 16:10,70.0,10.0,,31.89,19.1,31.26,19.7,88.2089,20.6,33.09,,61.62666667,9.8,52.5,766.7,3.166666667,20.83333333,0.467
08-04-2016 23:30,50.0,10.0,21.6,,19.2,45.4,22.89,39.59,20.79,39.03,20.39,48.856,7.95,84.0,753.0,1.5,28.0,5.35
02-03-2016 05:10,50.0,20.0,20.23,40.0,18.6,41.4,,38.9,18.89,39.09,18.7,44.5,7.55,80.83333333,747.2166667,7.0,30.83333333,4.43
18-04-2016 09:40,50.0,30.0,21.42666667,39.32666667,22.59666667,38.33333333,22.39,36.56,22.5,37.09,20.13333333,44.29,7.3,79.0,761.7,3.0,40.0,3.8
17-02-2016 04:00,70.0,30.0,20.7,35.245,18.2,36.8725,20.6,38.12666667,19.1,35.0,18.6,51.66333333,-2.8,86.0,765.6,2.0,21.0,-4.8
16-05-2016 17:20,110.0,10.0,23.5,,22.7,32.5,24.23857143,34.2,23.39,33.62666667,,36.7,14.3,44.66666667,760.3,2.333333333,40.0,2.43
02-01-2016 17:30,190.0,10.0,23.92666667,51.43333333,23.1,43.03,25.35666667,44.9,19.79,49.43333333,21.775,48.27388889,11.4,79.5,759.95,9.5,40.0,
27-03-2016 05:40,60.0,20.0,22.6,39.4,19.6,44.03,23.32333333,39.5,19.79,40.79,20.1,50.7,6.67,96.66666667,749.2,4.333333333,37.66666667,6.17
02-02-2016 00:50,50.0,20.0,,45.5,21.89,44.7,23.29,45.4,29.313,49.09,20.2,61.00944444,10.3,95.0,759.6,7.333333333,,9.48
06-02-2016 00:50,50.0,10.0,22.1,45.0,21.5,43.76,22.63333333,45.26666667,20.03333333,47.53,18.7,56.29,9.55,84.16666667,757.05,5.0,40.0,6.97
27-02-2016 00:10,50.0,10.0,21.0,37.4,19.39,,20.5,,19.79,35.2,19.51428571,69.78142857,,84.0,750.9333333,2.166666667,20.33333333,-0.683
22-04-2016 05:20,70.0,20.0,22.29,37.2,20.03333333,39.23,23.5,37.82666667,22.7,35.02571429,20.39,43.4,9.47,70.0,759.7333333,4.333333333,32.66666667,4.17
24-04-2016 14:40,60.0,30.0,21.79,36.4,20.1,37.96666667,22.7,34.29,21.7,34.4,,46.4,,78.0,757.4333333,3.666666667,40.0,2.07
12-02-2016 07:10,70.0,20.0,20.6,41.0,19.89,40.2,20.89,41.93333333,19.39,41.79,18.6,54.59,2.48,94.66666667,745.15,4.166666667,56.0,1.65
17-05-2016 00:40,50.0,30.0,23.0,39.2,20.89,39.518,24.29,37.4,23.1,36.9,20.98428571,40.14,9.5,77.66666667,760.4,1.0,40.0,5.83
25-04-2016 17:00,80.0,20.0,20.7,,18.79,41.02666667,21.79,35.56,21.0,36.80375,19.82333333,41.03,8.1,90.0,749.2,6.0,40.0,6.5
18-01-2016 01:40,40.0,10.0,21.26,40.76,19.6,40.0,20.2,39.7,20.7225,39.09,19.0,63.15666667,-3.77,,762.6666667,2.0,24.66666667,-5.47
22-03-2016 16:30,60.0,30.0,27.7662,37.09,21.32333333,,22.1,36.29,21.53333333,35.32666667,19.05,45.845,11.2,58.0,756.15,4.0,40.0,3.1
14-05-2016 21:50,70.0,20.0,24.42666667,32.62666667,21.89,34.16857143,,34.045,24.1,31.63333333,23.89,38.2,7.52,67.5,759.9333333,4.333333333,40.0,1.85
16-01-2016 15:40,112.66065523623652,20.0,21.7,38.93333333,20.79,38.23,20.79,41.4,20.43,41.42333333,19.5,56.86333333,4.47,69.66666667,764.4333333,5.0,54.27873038752062,-0.733
14-04-2016 06:50,60.0,10.0,21.26,41.96666667,18.1,47.16333333,23.06666667,38.5,21.2,38.09,20.39,46.59,1.42,99.83333333,753.8666667,1.0,16.176462882208654,1.4
29-04-2016 23:00,60.0,20.0,23.0,36.5,20.42666667,38.59,22.6,36.29,19.79,38.26,,43.4,6.9,93.0,756.3,3.0,40.0,5.8
24-03-2016 10:50,60.0,20.0,21.2,39.76,18.79,43.26,22.0,38.0,21.26,38.46666667,19.29,47.7675,7.67,73.16666667,756.9,2.833333333,24.0,3.1
17-02-2016 00:40,40.0,20.0,21.55,35.45,19.26,35.2,20.32333333,37.16333333,19.7,35.0,19.23,55.5,-3.47,,767.8,1.666666667,63.33333333,-4.8
29-01-2016 08:00,50.0,30.0,18.1,43.29,17.2,44.09,19.1,42.09,,43.59,16.7,50.53,23.8073,81.0,763.8,8.0,40.0,1.9
19-04-2016 20:10,120.0,20.0,22.29,39.82666667,20.76,37.7,22.29,37.09,22.29,36.79,20.7,65.29333333,10.6,61.83333333,765.9666667,3.833333333,40.0,3.38
09-05-2016 22:00,70.0,20.0,25.42666667,42.59,24.7,41.23,26.7,39.44,25.82333333,41.79,23.55,48.545,19.5,58.0,752.8,4.0,40.0,11.1
03-02-2016 00:10,50.0,20.0,21.79,44.59,21.23,42.73,21.68888889,45.48888889,21.5,45.79,20.0,60.49056829647881,5.33,84.5,758.5,5.666666667,40.0,8.681097750040482
26-04-2016 15:30,50.0,20.0,20.89,36.9,19.7,,,35.09,20.63333333,34.73,19.29,43.5,4.7,78.0,775.7911,3.0,40.0,1.1
20-02-2016 13:40,106.54415765362688,20.0,21.7,42.36,20.82333333,40.79,22.31,43.91,18.39,45.6,17.6,53.94285714,9.8,89.0,754.9,5.666666667,36.33333333,8.0
30-04-2016 15:10,90.0,10.0,21.89,35.63333333,21.2,34.25666667,24.49333333,35.39333333,20.1,37.06666667,19.7,56.69666667,10.5,59.5,759.65,5.166666667,40.0,2.93
24-02-2016 09:40,90.0,30.0,,38.65666667,18.2,40.06666667,20.5,38.5,19.5,36.46666667,18.32333333,51.86,0.867,94.66666667,759.7333333,1.0,51.0,0.467
24-05-2016 08:10,60.0,10.0,24.0,43.59,21.82333333,46.12666667,25.03333333,40.4,23.5,42.79,23.1,50.09,10.3,80.33333333,759.5666667,4.0,40.0,7.08
23-03-2016 12:10,50.0,20.0,21.89,41.65666667,,44.15666667,22.1,39.46333333,21.39,40.79666667,19.745,47.645,9.02,74.66666667,756.2833333,4.166666667,40.0,4.73
27-03-2016 01:50,60.0,10.0,22.89,46.07045240051432,20.66666667,42.7,23.2,39.5,20.0,41.23,20.46333333,51.5,7.55,94.0,748.85,3.0,44.04174351522778,6.67
20-03-2016 10:10,90.0,20.0,20.79,36.62333333,18.0,38.46666667,21.6,,19.79,34.0,,63.1,5.63,78.33333333,761.85,2.833333333,28.0,2.18
24-03-2016 15:20,50.0,20.0,21.1,39.09,19.5,40.73,21.89,37.5,20.7,36.29,19.29,46.29,9.47,64.0,756.1666667,4.0,49.22351152489456,2.97
09-05-2016 12:30,190.0,,25.0,40.13333333,27.66666667,33.06,26.29,37.7,25.0,38.59,23.2,42.7,22.1,47.0,752.85,2.5,40.0,10.2
05-05-2016 08:10,80.0,30.0,22.29,35.46333333,21.99333333,34.3,,35.56666667,22.29,33.26,20.79,40.06,8.55,63.83333333,762.9666667,2.166666667,40.0,1.98
11-05-2016 07:10,70.0,10.0,24.7,47.76,23.1,49.7,26.1,43.0,24.86142857,45.56428571,23.89,53.82666667,14.3,95.5,748.5333333,3.166666667,23.66666667,13.6
13-01-2016 10:00,90.0,20.0,,44.06,18.6,43.23,19.39,43.59,20.1,42.76666667,18.0,54.69,5.0,,755.9,5.0,40.0,3.1
18-05-2016 00:20,50.0,10.0,23.5,41.0,22.0,41.09,24.6,39.09,23.39,38.59,21.29,55.04,12.3,77.33333333,756.1,2.0,30.66666667,8.33
16-05-2016 08:50,170.0,20.0,22.89,40.73,20.54285714,,24.6,37.29,23.0,37.7,22.7,41.93,,87.16666667,761.0666667,1.833333333,27.66666667,6.3
12-05-2016 06:10,40.0,20.0,24.79,47.12666667,22.6,49.656,26.23857143,43.59857143,25.1,44.09,23.89,52.62666667,11.8,97.33333333,744.3833333,1.0,54.16666667,11.5
21-03-2016 00:20,60.0,10.0,22.29,37.5,19.39,40.76,22.1,36.79,20.0,37.06,19.85666667,,5.67,90.33333333,761.4,2.0,51.0,4.17
20-03-2016 22:00,80.0,10.0,22.82333333,37.06666667,20.1,39.96666667,22.39,36.5,20.13333333,37.0,,41.16333333,5.5,,761.3,2.0,64.0,4.3
11-04-2016 11:40,110.0,10.0,22.2,39.03,23.79,35.09,23.03333333,37.62666667,,37.59,20.89,54.536,15.8,50.66666667,750.1666667,4.666666667,40.0,5.53
05-03-2016 04:50,40.0,20.0,20.35666667,37.2,17.56666667,40.29,20.89,37.59,18.7,,18.39,43.5,0.35,99.0,740.3666667,1.0,38.66666667,0.15
25-04-2016 15:10,,20.0,20.79,79.4083,,39.79,21.82333333,35.23,21.254,36.356,19.89,40.79,7.38,89.0,750.5,5.666666667,43.83333333,5.65
06-02-2016 10:20,60.0,20.0,21.0,45.73,20.39,43.73,21.89,44.59,19.29,46.43333333,22.3794889109131,54.09722222,8.6,83.66666667,753.3333333,6.666666667,40.0,5.93
13-04-2016 03:00,60.0,10.0,22.1,41.5,19.5,44.36333333,24.39,39.7,22.6,38.0,20.89,53.44285714,7.1,87.0,751.3,2.0,40.0,5.0
,50.0,20.0,23.92666667,30.06666667,24.39,33.173737277368545,23.39,33.32666667,22.79,31.13333333,21.0,40.59,19.1,50.605061439149885,760.0666667,3.833333333,40.0,1.38
12-03-2016 22:20,100.0,20.0,21.7,36.29,19.29,38.9,20.29,36.475,20.1,35.56,19.56666667,43.32333333,3.43,83.66666667,767.9,3.0,43.32458009775829,0.833
28-03-2016 10:40,230.0,10.0,21.5,41.0,19.53,44.3,22.32333333,38.2,21.1,40.69,19.79,47.23,8.7,95.1056,,11.33333333,55.33333333,6.93
17-04-2016 21:40,60.0,10.0,22.6,39.22333333,19.73,40.76,22.5,38.06,22.1,36.12142857,20.79,,4.93,86.0,759.2666667,1.333333333,40.0,2.73
10-05-2016 04:50,50.0,10.0,24.89,44.29,23.245,45.6725,26.5,40.4,25.39,42.7,23.5,48.59,14.6,97.0,751.6833333,1.0,20.83333333,14.2
13-02-2016 11:00,50.0,10.0,19.96333333,38.26666667,18.1,39.83333333,20.5,38.56,18.5,38.29,18.6,49.56,3.0,84.0,735.7,4.0,26.0,0.6
15-04-2016 00:40,50.0,20.0,22.42666667,41.62666667,20.39,44.06,23.5,40.0,23.441175536151963,40.2,20.7,52.96666667,9.87,94.33333333,750.9666667,1.666666667,49.66666667,8.97
21-05-2016 06:00,50.0,10.0,22.85666667,45.96666667,29.8797,48.26,,42.2,23.03333333,43.93333333,22.5,47.79,13.0,94.0,756.4,4.0,25.0,12.1
13-01-2016 07:40,50.0,10.0,18.79,44.53,18.1,43.8175,32.1645,44.0,18.32333333,43.9,18.615,59.86333333,,89.66666667,754.1666667,5.333333333,26.66666667,
07-04-2016 21:20,80.0,,22.0,38.5,19.92666667,39.36333333,,,21.16666667,37.4,20.1,46.73,8.17,68.33333333,753.7333333,4.0,40.0,
20-03-2016 14:40,70.0,10.0,22.1,36.4,20.73,37.22333333,22.79,36.32666667,19.7,34.0,18.79,47.09,6.8,73.33333333,761.2333333,4.0,40.0,2.37
30-04-2016 22:50,50.0,30.0,30.3438,38.36333333,18.7,41.13333333,23.29,36.16333333,19.82333333,38.43333333,19.6,,5.6,80.83333333,763.1833333,3.166666667,40.0,2.5
14-01-2016 07:00,70.0,10.0,18.39,42.59,17.79,41.9,19.79,43.4,18.0,42.53,17.29,61.93333333,4.0,89.0,749.5,9.0,28.0,2.4
13-04-2016 01:50,50.0,20.0,22.26,41.56,19.76,44.2,24.42666667,39.82666667,22.7,38.2,21.0,54.178,7.75,84.83333333,751.35,2.0,40.0,5.32
15-01-2016 07:20,50.0,10.0,21.89,40.22333333,20.96333333,39.4,21.2,,18.1,42.29,18.1,54.36333333,3.2,76.66666667,752.4666667,8.666666667,40.0,
25-03-2016 08:50,140.0,10.0,21.0,40.5,18.39,44.2,21.79,38.0,19.79,38.7,,49.09,6.48,97.0,753.5666667,6.0,,5.98
08-05-2016 19:10,60.0,10.0,25.03333333,35.16333333,,30.79,26.2,36.72571429,24.89,34.62666667,24.46333333,30.16666667,24.9,27.83333333,750.6,4.833333333,30.83333333,4.83
